acc_name,create_at,full_text,retweet_count,fav_count,follower_count
qpapimm,2020-05-23 15:51:31,Covid Hero : ดูชีวิตหมู่บ้านคนพม่า ฝ่าวิกฤติโควิด ,0,0,910
icezphannawach,2020-05-23 15:47:35,โลกเปลี่ยนเเพราะวิกฤติ Covid ,0,0,127
SEverythingshop,2020-05-23 15:46:59,"Eunda
สรรพคุณ 
ช่วยลดอาการหวัด ไอ
เพิ่มความกระจ่างใสให้ผิว
เสริมสร้างความแข็งแรงให้กับกระดูก
ต่อต้านอนุมูลอิสระ
ลดฝ้า กระ และจุดด่างดำบนใบหน้า
#วิตามินซีอึนดัน #วิตามินซีเกาหลี  #วิตามินเกาหลี #Koreaeundan #สกินแคร์เกาหลี #HowtoPerfect #ชี้เป้าโปรถูก #สกินแคร์รักษาสิว #Covid_19 ",0,0,18
AUDEARS,2020-05-23 15:45:30,ทำไฮไลท์ครั้งแรกดูคลิป 5 นาที ทำเลย ผลที่ได้ ตามภาพจ้า #Covid_19 ทำให้ค้นพบพรสวรรค์ ,0,0,73
MGENTERTAINME10,2020-05-23 15:44:04,"ขอขอบคุณ เจ้าหน้าที่ตำรวจ สน.วัดพระยาไกร ทุกท่าน ที่อำนวยความสะดวกในการติดตั้งและแบ่งปัน ตู้ปันสุข ""ครอบครัวไทย ร่วมใจ สู้ภัย Covid-19 # เราจะผ่านไปด้วยกัน"" โดย เอ็ม จี เอ็นเตอร์เทนเม้นท์ เอเซีย MG Entertainment Asia #mgentasia ",0,0,4
kapohman,2020-05-23 15:43:34,มอบข้าวสาร: วันพฤหัสบดีที่ ๒๑ พฤษภาคม ๒๕๖๓ เวลา ๑๐.๐๐ น. ร่วมมอบข้าวสาร โครงการห่วงอย่างห่างๆ โดยชมรมเพื่อนแต้ม พล.ต.ต.วิชัย สังข์ประไพ และทีมประชาธิปัตย์ เขตหลักสี่ ให้กับผู้ได้รับผลกระทบจากสถานการณ์ Covid-๑๙… ,0,0,631
Room613Sale,2020-05-23 15:41:49,"พร้อมส่ง Korea Eundan Vitamin C วิตามินซีอึนดัน 190บาท แถมtattoo
สร้างภูมิต้านทานให้ร่างกายและกระตุ้นการสร้างคอลลาเจน ทำให้ผิวใส กระชับขึ้น. #วิตามินซีอึนดัน #วิตามินซีเกาหลี  #วิตามินเกาหลี #Koreaeundan #สกินแคร์เกาหลี #HowtoPerfect #ชี้เป้าโปรถูก #สกินแคร์รักษาสิว #Covid_19 ",0,0,3685
Five_Prince,2020-05-23 15:41:38,Raohe夜市 ตอนนี้คนน้อย เดินสบายมาก ไม่แน่ใจจาก covid หรือฝนที่ตกเก่ง ตกทุกวัน (แต่วันนี้ตอนเดินไม่ตก) ,3,3,92
boi_cnx,2020-05-23 15:40:08,@Italianperthai ชื่อโคโรน่า เป็นชื่อที่ดีนะ มันคือชั้นบรรยากาศชั้นหนึ่งของดวงอาทิตย์ แต่ COVID นี่เห็นด้วย มันคือการตั้งชื่อลูกด้วยเชื้อโรคดีๆ นี่เอง พ่อแม่ควรวิเคราะห์ความหมายของคำที่จะนำมาตั้งชื่อลูกให้ดี,1,0,75
forsellonlyka,2020-05-23 15:38:20,"แบ่งขายแมสค่า
10 ชิ้น แพคละ 90 บาท 
งานไทยหนา 3 ชั้นมีไส้กรองตามภาพเลยค่ะ
ค่าส่ง flash 30บาท
#หน้ากากอนามัย #หน้ากากอนามัยพร้อมส่ง #พร้อมส่ง #แมส #ตลาดนัด #หน้ากากอนามัยราคาถูก #โควิด19 #โควิด_19 #COVID19 #COVID__19 ",0,0,98
